English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",حدوداً ساعات ۱۱:۲۹-دا، اعتیراض وایتهالدان یوخاری گدیب، ترافالقار مئیدانینی گئچیب، استراند ایله موازینده، آلدویچدن رد اولوب کینگزوئیین یوخاریسیندان هولبون طرفینه کی موحافظهکار حیزبی گرند کونات رومز هوتئلینده باهار توپلانماسینی توتموشدو گدیب.,Other,"Mistranslation, Wrong spelling",Major error,حدوداً ساعات ۱۱:۲۹-دا، اعتیراض وایتهالدان یوخاری گئدیب، ترافالقار میدانینی گئچیب، استراندین موازیسینده، آلدویچدان رد اولوب کینگزوئیین یوخاریسیندان هولبون طرفینه کی موحافظه‌کار حیزبی گرند کونات رومز هتلینده کی اوز باهار توپلانماسینی (اسپرینگ فروم) توتموشدولار، گئدیب.
Nadal's head to head record against the Canadian is 7–2.,نادال-ین باش باشا رکوردو کانادالی اویونجو برابرینده ۷–۲ دیر.,Correct,Wrong punctuation,Minor error,نادالین باش‌باشا رکوردو کانادالی اویونجو برابرینده ۷–۲ دیر.
He recently lost against Raonic in the Brisbane Open.,او یاخین گئچمیشده بریسبئین اوپن اویونودا رائونیک برابرینده اوتوزموشودو.,Correct,Other,,او یاخینلاردا بریسبین اوپن اویونودا رائونیک برابرینده اوتوزموشودو.
Nadal bagged 88% net points in the match winning 76 points in the first serve.,بو اویوندا نادال امتیازلارین ۸۸% صاحیب اولوب، بیرینجی سئروده ۷۶ امتیاز الده المشیدیر.,Other,Inaccurately omitted information,Minor error,بو اویوندا نادال خالیص۸۸% امتیازا صاحیب اولوب، بیرینجی سرویسده ۷۶ امتیاز قازانمیشدیر.
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","⁣بو اویوندان سونرا، توپراق یئرینده اویونون پادیشاهی دئدی: ""تازاشدان یاپ موهوم ورزشی رویدادین آخیر دورونه قئیتماغا گؤره هیجانلیام. بو اویونو اودماغا چالیشماق اوچون بوردایام.""","Correct, Typo",Wrong spelling,Major error,"بو اویوندان سونرا، کینگ آف کلی دئدی: ""تازادان لاپ موهوم ورزشی رویدادین آخیر دورونه قئیتماغا گؤره هیجانلی‌یام. بو اویونو اودماغا چالیشماق اوچون بوردایام."""
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","""پاناما کاغیذلاری"" بیر عمومی اصطلاحدیر کی ۲۰۱۶-اینجی ایلین یازیندا «موساک فونسکا» آدلی پانامالی حقوقی شرکتیندن مطبوعاتا درز ائلمیش حدوداً اون میلیون سنده اشاره ائلییر.","Correct, Typo",Wrong spelling,Minor error,"""پاناما سندلری"" بیر عمومی اصطلاح‌دیر کی ۲۰۱۶ ایلین یازیندا «موساک فونسکا» آدلی پانامالی حقوقی شرکتیندن مطبوعاتا درز ائله‌میش حدوداً اون میلیون سنده اشاره ائلییر."
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,بو سندلر گورسدیر کی اوندؤرد بانک پوللو مشتریلره میلیاردلار آمریکا دولارین مالیات و آیری قانونلاردان قاچماق اوچون گیزلتمیینه کمک ائلییپلر.,Other,Inaccurately omitted information,Major error,بو سندلر گورسدیر کی اون‌دؤرد بانک پوللو مشتریلره میلیاردلار آمریکا دولارین گیزلتمه‌سینه، مالیات و آیری قانونلاردان قاچماق اوچون کمک ائلییبلر.
British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,انگلستان روزنامهسی «گاردین»ین دئدیینه گؤره، بو هدفه چاتماق اوچون دوزلمیش ۱۲۰۰ قابیق شرکتین حدوداً اوچدن بیری دویچه بانکا عاییددیر.,"Correct, Typo",Wrong spelling,Minor error,انگلستان روزنامه‌سی «گاردین»ین دئدیگینه گؤره، بو هدفه چاتماق اوچون دوزلمیش ۱۲۰۰ پوسته شرکتین حدوداً اوچدن بیری دویچه بانکا عاییددیر.
"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",بونا گوره دونیا باشیندا اعتراضلار اولوب، نئچه جنایی پرونده آچیلیب، ایسلند و پاکستان دؤلتلرینین باشچیلاری ایشلریندن استعفا ائلییبلر,Correct,Wrong spelling,Minor error,بونا گوره دونیا باشیندا اعتیراضلار اولوب، نئچه جنایی پرونده آچیلیب، ایسلند و پاکستان دؤلتلرینین باشچیلاری ایشلریندن استعفا ائلییبلر
"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","ما هونگ کونگدا آنادان اولوب نیویورک دانیشگاهی و هاروارد حقوق دانشکده سینده درس اوخویوب بیر زامان آمریکانین دائمی ساکینی کیمی ""یاشیل کارت""ینا صاحیبیدیر.",Correct,Wrong spelling,Minor error,"ما هونگ‌کونگدا آنادان اولوب نیویورک دانیشگاهی و هاروارد حقوق دانشکده‌سینده درس اوخویوب بیر زامان آمریکانین دائمی شهروندی کیمی ""یاشیل کارت""ینا صاحیب‌ایدیر."
Hsieh implied during the election that Ma might flee the country during a time of crisis.,حسیهنین سؤزوندن بئله آلیندیر کی انتخابات زمانیندا، بحران دؤرهسینده «ما»نین اؤلکهدن قاچماق احتمالی وار.,"Other, Typo","Other, Wrong spelling",Major error,هسیه‌نین انتخابات زمانینداکی سؤزوندن بئله آلیندی کی بحران دؤره‌سینده «ما»نین اؤلکه‌دن قاچماق احتمالی وار.
Hsieh also argued that the photogenic Ma was more style than substance.,حسیه همچنین استدلال الدی که فوتوژنیک «ما»نین باطیندن چوخ ظاهیری وار.,Correct,"Wrong spelling, Correct",Minor error,هسیه همچنین استدلال ائله‌دی که فوتوژنیک «ما»نین باطیندن چوخ ظاهیری وار.
"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",بو اتهامات اولا اولا، «ما» چینین آنالیق یئری ایله یاخین ارتباطدان حمایت ائلییرکن راحاتلیقلا برنده اولدو.,Correct,Inaccurately omitted information,Minor error,بو اتهامات اولا اولا، «ما» بیر پلتفرمدا چینین آنالیق یئری ایله یاخین ارتباطدان حمایت ائلییرکن راحاتلیقلا برنده اولدو.
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,بوگونون گون اویونچوسو «واشنگتون کپیتالز»دان آلکس اووچکین-دیر.,Correct,Wrong punctuation,Minor error,بوگونون گون اویونجوسو «واشینگتون کپیتالز»دان آلکس اووچکین‌دیر.
He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,او واشینگتونون «آتلانتا تراشرز» برابرینده ۳-۵ اودماغیندا ۲ قول ویریب ۲ قولون ویریماسینا کؤمک المیشدیر.,"Correct, Typo",Wrong spelling,Minor error,او واشینگتنون «آتلانتا تراشرز» برابرینده ۳-۵ اودماغیندا ۲ گل ویریب ۲ گلون ویریماسینا کؤمک ائلمیشدیر.
Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,بو گئجه اووچکین-ین بیرینجی قولا کؤمیی تازا ایشه باشلیان اویونچو نیکلاس بکستورم-ون مسابقهنین قازانماسینا باعث اولان قولو ایدیر.,"Correct, Typo, Unnatural",Wrong spelling,Minor error,اوچکینین بیرینجی گلا کؤمگی او گئجه،  تازا اویونجو، نیکلاس بکستورمون مسابقه‌نین قازانماسینا باعث اولان گلو ایدیر.
"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",اونون بو گئجه ایکینجی قولو اونون بو فصلده ۶۰-اینجی قولویوموش؛ بئللیکله او ۱۹۹۵-۹۶ ایلیندن بیرینجی اویونچودور کی ۶۰-دان یوخاری امتیازینا چاتیر. اوندان قاباق جارومیر جاگر و ماریو لئمیو بو مرحلهیه ال چاتمیشدیرلار.,"Correct, Typo",Wrong spelling,Minor error,اونون بو گئجه ایکینجی گلو، اونون بو فصلده ۶۰-اینجی گلویوموش؛ بئله‌لیکله او ۱۹۹۵-۹۶ ایلیندن بیرینجی اویونجودور کی ۶۰-دان یوخاری  گل امتیازینا چاتیر. اوندان قاباق جارومیر جاگر و ماریو لئمیو بو مرحله‌یه ال چاتمیشدیرلار.
Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,باتن ۲۰۰۸-اینجی ایلین ۴۰۰ یاپ پوللو آمریکالیلارین لیستینده ۱۹۰-نجی ردهده اوتورموشدو و تخمین گئدیردی کی ۲.۳ میلیارد دلار ثروتی وار.,"Correct, Typo",Wrong spelling,Minor error,باتن ۲۰۰۸ ایلینده ۴۰۰ پوللو آمریکالی‌لارین لیستینده ۱۹۰-نجی رده‌ده اوتورموشدو و تخمین گئدیردی کی ۲.۳ میلیارد دلار ثروتی وار.
He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,او دانشگاه مدرکینی ۱۹۵۰-ده ویرجینیا دانیشگاهینین علم و هنر کالجیندن آلمیشدیر و بو موسسهیه اصلی کؤمک الیینلردن ایدی.,"Correct, Typo",Wrong spelling,Minor error,او دانشگاه مدرکینی ۱۹۵۰-ده ویرجینیا دانیشگاهینین علم و هنر کالجیندن آلمیشدیر و بو موسسه‌یه اصلی کؤمک الیینلردن ایدی.
Iraq's Abu Ghraib prison has been set alight during a riot.,عراقین ابوغریب زندانی اغتشاش زمانیندا یاندیریلیب.,Correct,Correct,,
The jail became notorious after prisoner abuse was discovered there after US forces took over.,آمریکا گوجلری بو زندانی آلماقدان سونرا، زندانیلری ایله سوءرفتار کشف اولاندان سونرا، بو زندانین آدی پیسه چیخدی.,"Typo, Correct","Unnatural translation, Correct, Wrong spelling",Major error,بو زندان، آمریکا نیرولارینین آلماقیندان سونرا، اوردا زندانیلری ایله سوءرفتار کشف اولاندان سونرا، آدی پیسه چیخدی.
"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",پیکت جونیور ۲۰۰۸-اینجی ایلین سنگاپور گرند پریکس مسابقهسینده فرناندو آلونسو اوچون ائرته پیت استاپ المکدن بیراز سونرا تصادف الییب امن ماشینین چیخیشینا باعث اولدو.,"Correct, Typo",Wrong spelling,Minor error,پیکت جونیور ۲۰۰۸-ده سنگاپور گرند پریکس مسابقه‌سینده فرناندو آلونسو اوچون ائرته پیت-استاپ ائلمکدن بیراز سونرا تصادف الییب امن ماشینین چیخیشینا باعث اولدو.
"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",آلونسودان قاباق ماشینلار امن ماشینینا گؤره یاناجاق آلماق اوچون یولدان کنارا چیخمان همن آلونسو اونلاردان قاباغا گئچیب مسابقهنی آپارمیشدیر.,"Correct, Typo","Other, Wrong spelling",Minor error,آلونسودان قاباق ماشینلار امن ماشینینا گؤره آلتیندان سوخت آلماق اوچون یولدان گئتمیشکن، آلونسو اونلاردان قاباغا گئچیب مسابقه‌نی آپارمیشدیر.
Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,پیکت جونیور ۲۰۰۹ مجارستان گرند پریکسیندن سونرا اخراج اولموشدو.,Correct,Correct,,
"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",دقیقاً سحر ساعات ۸:۴۶-دا سکوت بوتون شهره دوشب بیرینجی جتین هدفه ویرماسینین دقیق لحظهسین مشخص ائلدی.,"Correct, Typo",Wrong spelling,Minor error,دقیقاً سحر ساعات ۸:۴۶-دا سکوت بوتون شهره دوشوب، بیرینجی جتین هدفه ویرماسینین دقیق لحظه‌سین مشخص ائله‌دی.
Two beams of light have been rigged up to point skywards overnight.,گئجه چاغی ایکی ایشیق گؤیه طرف سالینمیشدیر.,Correct,Correct,,
"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",او مکاندا بئش تازا برج ایله نقلیات مرکزی و اورتادا یادبود پارکینین تیکینتیسی ادامهسی وار.,Unnatural,Unnatural translation,Major error,او مکاندا، ساخت‌وساز بئش دانا تازا برج اوچون، حمل‌ونقل مرکزی‌ ایله و بیر یادبود پارکی اورتادا ادامه‌سی وار.
"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",دانا دان چوخ امی جایزه سی وار و اونون چخش سابقه سی کنجد خیابانی و مستر راجرز محله سینن آز دی 24 کانالنان پخش الور PBS بو برنامه کی,Unnatural,"Mistranslation, Unnatural translation",Critical error,PBC برنامه‌سینین ایککی جیندن چوخ امی جایزه‌سی وار و اونون پخش زامانی فقط Sesame خیابانی و مستر راجرز محله‌سیندن آزدی.
Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,هر قسمت برنامه دن بیر کتابدا بیر خاص موضوعن اوسدونده تمرکز الیر و او موضوعی نچه داستاندا بررسی الییر.,Grammatical error,Wrong grammar,Major error,هر قسمت برنامه‌دن، بیر موضوع اوستونده بیر خاص کیتابدان، تمرکز ائلیر و سونرا او موضوعو نئچه داستاندا بررسی الییر.
Each show would also provide recommendations for books that children should look for when they went to their library.,هر برنامه ده نچه کتاب پیشنهاد الور کی اوشاخلار کتابخانیه گدنده اولاری اخدارسنار.,"Typo, Correct",Wrong spelling,Minor error,هر برنامه‌ده نئچه کیتاب پیشنهاد اولور کی اوشاخلار کتابخانه‌یه گئدنده اولاری آخدارسینلار.
"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","اوشاخلارا اورگتدی نیه گره کتاب اوخیللر... کتاب اوخوماقن عشقین-(بر برنامه) اوشاخلاری تشویق الدی بیر کتاب گتوسوننر و اونی اخوسوننار. Reading Rainbow "" نین اصلی ایستگاهی Reading Rainbow بوفالودان WNED جان گرنت""",Correct,Correct,,"جان گرنت، WNED بوفالودان، (Reading Rainbow-نون ائو ایستگاهی) دئدی: Reading Rainbow فیکر ائلیردی اوشاقلار نیه گرک اوخوسونلار،... اوخوماق عشقی- برنامه اوشاقلارا توصیه ائلیردی بیر کیتابی اوخوماق اوچون سئچسینلر. 

"
"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",بعضیلر از جمله جان گرنت فکر الیللر کی بودجه نین بین نن گتماقی و اموزشی تلویزیون برنامه لرین فلسفه لرین عوض اولماقی بو مجموعه نین گوتولماقنا باعث اولدی.,Unnatural,Wrong grammar,Minor error,بعضیلر از جمله جان گرنت معتقددیلر کی بودجه‌نین بیننن گتماغی و تلویزیونون آموزشی برنامه‌لرین فلسفه‌سینین عوض اولماغی بو مجموعه‌نین قوتولماغینا باعث اولدی.
"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",هواشوناسلارین دئدیینه گؤره، کیپ وئرده جزیلری ایله ۶۴۵ مایل (۱۰۴۰ کیلومتر) فاصلهسینده اولان طوفان احتمالاً قورو یئرلری تهدید المدن آرادان گئدجک.,"Typo, Correct","Inaccurately omitted information, Wrong spelling",Minor error,هواشیناسلارین دئدیگینه گؤره، کیپ وئرده جزیلرین غرب طرفیندن ۶۴۵ مایل (۱۰۴۰ کیلومتر) فاصله‌سی اولان طوفان احتمالاً قورو یئرلری تهدید ائله‌مدن آرادان گئدجک.
Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,ایندی فرد-ین ساعاتدا ۱۰۵ مایل-لیق (۱۶۵ کیلومتر/ساعاتدا) یئللری غربی شمالا طرف اسیر.,Other,"Inaccurately omitted information, Untranslated text",Major error,ایندی فردین ساعاتدا ۱۰۵ مایل‌لیق (۱۶۵ کیلومتر/ساعاتدا) یئللری وار و شمال‌غربه طرف اسیر.
"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",عکس گؤتورن ماهوارهنین گلمهسیندن ایندیه قدر اطلس اقیانوسون جنوب و شرقینده اسن ایستی هاوالی طوفانلارین آراسیندا فرد یاپ گوجلودور و ۳۵°دابلیونون شرقینده اوچونجو اصلی طوفان رکوردونا صاحیبدیر.,Grammatical error,Wrong grammar,Major error,"فرد، لاپ گوجلو استوایی گردباددیر کی  ماهواره‌ ایله عکسبرداری‌نین گلمسینن ایندیه قدر، اطلس اقیانوسونون جنوب و شرقینده 
 ثبت اولونوب و فقط اوچونجو اصلی گردباددیر کی ۳۷ غربی درجه‌نین شرق طرفینده ثبت اولونوب. "
"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",۱۷۵۹-اینجی ایلین سپتامبرینین ۲۴-ده، آرتور گینس ایرلند، دوبلین-دکی سنت جیمز گئیت آبجو کارخاناسی ایله ۹۰۰۰ ایللیک اجاره امضا ائلدی.,"Typo, Correct",Wrong spelling,Minor error,۱۷۵۹-اینجی ایلین سپتامبرینین ۲۴-ده، آرتور گینس ایرلند، دوبلینده‌کی سنت جیمز گئیت آبجو کارخاناسی ایله ۹۰۰۰ ایل‌لیک اجاره امضا ائله‌دی.
"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",۲۵۰ ایل سونرا، گینس دنیا سطحینده ایشه دؤنوب و ایلده ۱۰ میلیارد یورو (۱۴.۷ میلیارد دلار)-دان آرتیق گلیشی وار.,"Correct, Typo",Correct,,
"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",جانی رئید، نیوزلند ای۱جیپی تیمینین مشترک رانندهسی، بوگون نیوزلندین ۴۸ ایللیک آکلند بندرگاه کؤرپوسونون اوستونده قانونی شکیلده ایندیجن یاپ یوخاری سرعت ایله ماشین سورمک ایله تاریخ یاراتدی,"Typo, Correct","Wrong spelling, Correct",Minor error,جانی رئید، نیوزلند ای۱جی‌پی تیمینین مشترک راننده‌سی، بوگون نیوزلندین ۴۸ ایللیک آکلند بندرگاه کؤرپوسونون اوستونده قانونی شکیلده ایندیه چان لاپ یوخاری سرعت ایله ماشین سورمک ایله تاریخ یاراتدی.
"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",آقای رئید نیوزلندین ای۱جیپی ماشینی، قره گؤزل، ایله یئددی سری کؤرپونون اوستونده ۱۶۰ کیلومتر/ساعاتدا سرعتینه چاتدی.,"Typo, Correct","Wrong punctuation, Correct",Minor error,آقای رئید نیوزلندین ای۱جی‌پی ماشینی، بلک بیوتی ایله یئددی سری کؤرپونون اوستونده ۱۶۰ کیلومتر/ساعاتدا سرعتینه چاتدی.
"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",قره گؤزلین ارتفاسی آز اولدوغونا گؤره، نیوزلندین پولیسی سرعتی سایان رادار توفنگلری ایله آقای رئیدین سرعتینی ثبت ائلماقدا چتینلیغا دوشموشدورلر و فقط او زمان ائلیه بیلدیلر آقای رئیدین سرعتینی ثبت السینلر کی اونون سرعتی ۱۶۰ کیلومتر/ساعاتدان آشاغی یئندی.,Correct,"Mistranslation, Correct",Minor error,بلک بیوتی‌نین ارتیفاسی آز اولدوغونا گؤره، نیوزلندین پلیسی سرعتی سایان رادار توفنگلری ایله آقای رئیدین سرعتینی ثبت ائلماقدا چتینلیغا دوشموشدورلر و فقط او زمان ائلیه بیلدیلر آقای رئیدین سرعتینی ثبت السینلر کی اونون سرعتی ۱۶۰ کیلومتر/ساعاتدان آشاغی یئندی.
"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",گئچن ۳ آیدا، ۸۰ نفردن چوخ توتولانلار سنترال بوکینگ زندانیندان متهم اولمادان آزاد اولونبلار.,,,,
"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",بو ایلین آوریلی، قاضی گلین موقت محدودلاشدیران حکم صادر ائلییب زندانی مجبور ائلییب کی ۲۴ ساعاتدان چوخ ساخلانیب دادگاه کمیسیونری توسط ایله دادرسی اولونمویان توتولموشلاری آزاد ائلسین.,,,,
"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",کمیسیونر وئریلماق شرطی ایله وثیقه تعیین ائلییب توتان مامور ویردیغی اتهامی رسمیلشدیریر. اوندان سونرا، اتهام ایالتین کامپیوتر سیستمینی گیریب پرونده پیگیری اولور.,,,,
The hearing also marks the date for the suspect’s right to a speedy trial.,دادرسی مظنونون سرعتلی محاکمهسی حقی اوچون تاریخ ده مشخص ائلییر.,,,,
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",پیتر کاستلو، استرالیانین خزانهداری و هامیدان چوخ احتماللی لیبرال حزبینین باشی کیمی باش وزیری جان هوارد-ین یئرینه گلن آدام، استرالیادا اؤز حمایتینی هستهای گوج صنعتیندن گؤرستمیشدیر.,,,,
"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",آقای کاستلو دئیب کی هستهای گوج تولیدی اقتصادی لحاظدان صرفهلیدیر و استرالیا گرک اونون دالیسیجان گئتسین.,,,,
"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.","آقای کاستلو دئدی کی ""اگر تجاریلشسه، گره اونا صاحب اولاق. یانی، هستهای انرژیه قارشی اصولی مخالفت یوخدور.""",,,,
"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","آنسانین دئدیینه گؤره، ""بیر ایکی یوخاری سطحیده اؤلدورملره گؤره پولیس نیاراندیر که یئکه سطحده جانشینی ساواشی باشلاسین.",,,,
