English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","11:29 ram hta, ninghkap ai hpung ni gaw Tralfalgar Square hpe lai kau nna Whitehall lam de hka kau mayan hku hkan nna Aldwych hte Kingsway manam jarawt ntsa hku lai mat nna, mungding htung hkan mayu ai hpung ni a shanhte a machyan htawngshi ta na bawngban pawng galaw nga ai shara Grand Connaught Rooms manam jarawp nga ai Holborn ginra de rawt lung lai wa ma ai.","Other, Unnatural","Inaccurately omitted information, Unnatural translation, Wrong grammar, Mistranslation, Untranslated text",Critical error,"aten 11:29 ram hta, ninghkap hpung ni gaw Trafalgar Square hpe lai kau da nna, Whitehall lam de hkawm mat ai. (Dai gaw na), Aldwych hpe lai di, the Strand lam hku hkawm mat ai. Mungding htung hkan ai hpung ni a,  shanhte a Spring Forum bawngban hpawng galaw mat wa ai shara re nga ai the Grand Connaught Rooms manam jarawp nga ai Holborn lam de, Kingsway lam hku na rawt mat ai."
Nadal's head to head record against the Canadian is 7–2.,Nadal gaw Canadian hte man hkrum ginsup ai kaw 7-2 hte dang nna ka matsing da hkrum sai.,Other,"Wrong grammar, Untranslated text",Minor error,Nadal gaw Canada mung masha hte man hkrum ginsup ai shaloi 7-2 hte dang n-na ka matsing da ai.
He recently lost against Raonic in the Brisbane Open.,Shi gaw ndai laman sha Raonic hpe Brisbane hpaw poi hta sha sum da ai rai nga ai.,"Grammatical error, Unnatural",Wrong grammar,Minor error,Shi gaw ndai laman sha Raonic hpe Brisbane hpaw poi hta sum mat ai re.
Nadal bagged 88% net points in the match winning 76 points in the first serve.,Nadal gaw ginsup lamang 88% hta amat 76 hte shawng lu nna dang ai.,Other,"Wrong grammar, Mistranslation, Inaccurately omitted information, Untranslated text",Critical error,Nadal gaw ginsup shingjawng ai shaloi tsa lam shadang 88 (net points= sumgawn hte ni ai shaloi lu la ai amat) hte shawng ningnan (bawling) htawn jaw ai shaloi lu la ai 76 amat hte dang mat ai.
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Shingjawng lamang ngut ai hpang King of Clay tsun ai, ""Ndai ahkyak dik ai lamang re ai ninggang gashun ai de bai du wa ai gaw myit loi kahpra ai. Ngai du sa wa ai ndai ninggang hpe dang na matu re.""","Other, Unnatural","Wrong grammar, Mistranslation, Unnatural translation, Untranslated text",Major error,"Shingjawng ngut ai hpang, King of Clay tsun mat ai, ""Ndai grai ahkyak ai lamang ni a, ninggang kashun ai aten (lamang) ni hta shang lawm lu ai majaw ngai grai myit rawt taw ai re. Ndai ninggang hpe dang na matu ngai ndai kaw, du sa wa ai re."""
"Panama Papers is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","2016 ning machyan htawng shi ta hta ""Panama Laika pa"" ngu ai gaw Mossack Fonseka a Panama tara upadi kaw na wan shi hku re ai matsing ninghting laika pa ni a ga si ga ngau re.",Other,"Inaccurately omitted information, Unnatural translation",Major error,"Panama Laika pa' ngu ai gaw Mossack Fonseka ngu mying ai Panama tara rung kaw na, wan shi hku re ai matsing ninghting laika pa re. Dai gaw 2016 ning nlum ladaw hta shiga laika ka ai ni de, shiga pru mat ai laika pa re."
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,Matsing laika ni gaw sut su ai ni US gumhpraw wan hkying hku re lu ai hpe makoi kau nna ahkun hkangse hte kaga rip kawp tara ni hpe koi yen na matu gumhpraw dum shi mali gaw shanhte hpe karum ya ai nga madun da ai.,"Unnatural, Other","Unnatural translation, Wrong grammar",Major error,"lu su (sut su) ai masha ni a US gumhpraw wan hkying hku law ai sutgan ni hpe, hkanse hte kaga rip kawp tara ni hpe koi yen na matu, gumhpraw dum shi mali gaw na, makoi ya ai lam hta karum ya ai ngu ai hpe, ndai matsing laika ni gaw madun da ai."
British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,British shi laika The Guardian gaw Deutsche Gumhpraw dum gaw ndai hpe awngdang da ga ai kawp sha nga ai kompani 1200 a htam masum na htam mi hpe jum tek da ai nga na shiga shapru da sai.,Other,"Untranslated text, Inaccurately omitted information",Minor error,"British shi laika 'The Guardian' gaw, Deutsche gumhpraw dum gaw ndai hpe galaw awngdang da ga ai, kawp sha re ai (masu n-teng ai) hpaga hpung kompani 1200 ram a, htam masum kaw na htam mi ram hpe, tek jum da ai nga na shiga htawn da ai."
"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.","Mungkan ting n-gun madun ninghkap ai lam, ru hka amu hte seng ai tara jun ai lam hte Iceland hte Pakistan mungdan a asuya lahkawng kaw na ningbaw ni bungli hkring mat ai lam ni nga lai wa sai re.",Other,Inaccurately omitted information,Minor error,"Mungkan ting (n-gun madun) ninghkap ai lam ni, tara shawk shawn jeyang ai lam ni law law hte, Iceland mungdan hte Pakistan mungdan kaw na, atsuya ningbaw salang ni bungli hkring mat ai lam ni nga lai wa sai re."
"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".","Hong Kong kaw shangai nna, MA hpe New York dakkasu hte Harvard upadi jawng kaw sharin la nna kalang ta American kaw dingyang shanu nga na ahkang jaw lak mat(mai nga ai Card) hpe lang da ai.",Grammatical error,"Mistranslation, Wrong grammar",Major error,"Hong Kong kaw shangai ai, ""Ma"" gaw New York dakkasu hte Harvard tara hpaji jawng ni kaw hpaji hkaja lai wa nna, America mungdan gaw dingyang shanu nga mai ai ahkang lak mat (Green Card) hpe moi hta lu da ga mat sai re."
Hsieh implied during the election that Ma might flee the country during a time of crisis.,Mungdan ningbaw lata ai shaloi Hsieh ga jaw ai gaw Ma gaw mungdan ya ai aten pru mat wa na re ngu tsu wa ai.,"Typo, Grammatical error","Wrong spelling, Wrong grammar, Unnatural translation, Other",Minor error,"Ra lata poi shaloi, Hsieh gaw 'Ma' gaw mungdan yak ai aten nga wa yang mungdan kaw na pru mat na ra ai ngu na tsun mat wa ai."
Hsieh also argued that the photogenic Ma was more style than substance.,Hsieh ninghkap tsun ai gaw sumla hta tsawm ai Ma gaw arung arai hta grau kaja ai lai shingni rai nga ai.,Other,Mistranslation,Critical error,"Ma' gaw jet ai manu shadan ai atsam ningja hta,masha ni shi hpe mu mada ai lam hpe grau nna sawn ai re ai lam hpe Hsieh ninghkap tsun mat ai."
"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.","Ndai hka jun ai lam ni nga tim, Ma gaw kanu mungdang Miwa mung a htep lahti madi shadaw tsun karum rum ai lam hte atsawm dang kau lu ai.",Other,"Inaccurately omitted information, Unnatural translation",Major error,"Ndai zawn hka jun ai lam ni nga tim, 'Ma' gaw 'Miwa' mung hte grau nna htep lahti re nga ai lam hpe madi shadaw tsun karum ai a majaw (ndai hpe) atsawm awng dan kau lu mat ai."
Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,Dai ni na hkrak dik htum ginsup ninghkring gaw Washington mumlum na Alex Ovechkin rai nga ai.,Typo,Wrong spelling,Minor error,Dai ni na hkrak dik htum ginsup ninghkring gaw Washington muklum na Alex Ovechkin rai nga ai.
He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,Shi gaw Atlanta Thrashers hpe 5-3 hte dang ai hta goal 2 lu nna shi Washington a matu 2 lang karum ya wa ai.,"Unnatural, Other","Untranslated text, Unnatural translation",Minor error,"Shi gaw Washington a Atlanta Thrashers hpe 5-3 hte dang ai poi hta, goal 2 lu nna, (goal lu na matu) 2 lang karum ya wa ai."
Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,Nicklas Backstrom hpe Ovechkin na dai shana shawng nna madi sadaw ai gaw dai jinsup ai lama hta dang wa na matu goal re.,"Other, Unnatural","Untranslated text, Unnatural translation, Wrong spelling, Inaccurately omitted information",Major error,"Ovechkin a dai shana na goal lu na matu shawng n-nan karum dat ya ai gaw, ginsup ninghkring ningnan re nga ai Nicklas Backstrom a ginsup poi lamang hta dang mat wa na matu goal re."
"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.","dai shana na shi a goal lahkawng ngu na gaw dai num daw a shi lu bang ai 60th ngu na goal re, Jaromir Jagr hte Mario Lemieux yan dai pandung lu du ai ten, dai gaw 1995-96 kaw na goal 60 (sh) jan hkra lu du ai shang nnan na ginsup ninghkring byin wa sai.",Other,"Wrong spelling, Inaccurately omitted information, Mistranslation",Major error,"dai shana na shi a lahkawng lang ngu na goal gaw, dai ladaw hta shi shawn bang lu ai kru shi lang na goal re. Jaromir Jagr hte Mario Lemieux yen, ladaw langai mi hta goal 60 (snr) 60 hte lahta lu bang da ai ngu ai dai pandung du da ai 1995-96 ning hpang gaw na, shi gaw shawng ningnan dai pandung bai lu la ai ginsup ninghkring byin wa sai re."
Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,"Batten gaw 2008 hta 190th tsang madang hta nga ai, American a lu su dik 4000 jahpan hta lawm nna ntsa lam maram da ai gaw billion $2.3 nga ai.",Other,"Inaccurately omitted information, Mistranslation, Unnatural translation",Critical error,"Batten gaw 2008 ning hta na lu su dik American mung masha marai 400 jahpan hta, ntsa lam maram da ai sutgan $2.3 billion lu su ai hte 190th tsang madang nga ai re."
He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,Shi gaw Virginia Dakkasu a Shingni hte hpungtang hpaji hkawlik jawng kaw shaning 1950 hta jan mau gup la ai re nna dai hpung a alak mi re ai gam jaw ya ai wa mung rai lai wa sai re.,"Grammatical error, Typo","Wrong grammar, Wrong capitalization",Minor error,"Shi gaw Virginia dakkasu a Shingni hte Hpungtang Hpaji hkawlik jawng kaw shaning 1950 hta jan mau gup la ai rai nna, dai hpung hpe alak mi re ai gam jaw ya ai wa mung rai lai wa sai re."
Iraq's Abu Ghraib prison has been set alight during a riot.,Iraq na Abu Ghraib bawng masha gaw kasu kabrawng byin ai laman hta rim dat ai.,Other,"Inaccurately omitted information, Mistranslation",Critical error,"Iraq mungdan na Abu Ghraib htawng gaw kasu kabrawng byin ai laman hta, wan nat hkrum mat ai."
The jail became notorious after prisoner abuse was discovered there after US forces took over.,US hpyen dap ni shara la ai hpang bawng masha ni zing ri hkrum ai brawng mat wa ai majaw hkyuk htawng gaw nkaja ai hku myit kaba mat ai.,Typo,Wrong spelling,Minor error,"US hpyen dap ni reng hkang ai hpang, bawng masha ni zing ri roi rip hkrum ai lam brawng mat wa ai majaw, dai hkyuk htawng gaw n kaja ai hku mying kaba mat ai."
"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",Piquet Jr. gaw 2008 na Singapore Grand Prix mawdaw shingjaw poi hta Fernando Alonso a matu shim ai mawdaw hpe gan sa la taw ai aten kaw sha mawdaw adawt hkrum ai.,Other,"Wrong spelling, Mistranslation",Critical error,"Piquet Jr. gaw 2008 ning na Singapore Grand Prix mawdaw shing jawng poi hta, Fernando Alonso a matu shawng ningnan mawdaw sau bang ai hte leng galai na matu hkring ngut ai hpang gaw, mawdaw adawt mat ai. Dai a majaw shim lam mawdaw le wa ra ai re."
"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.","Alonso de sa taw ai mawdaw gaw shimlum ai mawdaw npu kaw na tsau bang na matu sa mat ai, shi gaw awngdan na matu dai hpe tsit kau ai.",Other,Mistranslation,Critical error,"Alonso a shawng na mawdaw ni gaw, shim lam mawdaw lam ntsa kaw nga ai aten hta sau bang na matu shang wa ai shaloi, shi gaw awng padang lu la na matu mawdaw lam ntsa de bai htawt gau mat ai re."
Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,Shaning 2009 Hungarian Grand Prix ngut ai hpang Piquet Jr. hpe bungli shapraw kau ai.,Other,Unnatural translation,Minor error,"2009 ning na Hungarian Grand Prix mawdaw shing jawng poi ngut ai hpang, Piquet Jr. gaw bungli shapraw hkrum mat ai."
"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",8:46 a.m tup hta shawng nnan jet nbungli gaw mare kaba hpe azim sha lai nna yaw shada da ai shara hta hkrak tup re aten kaw bawm jahkrat mat ai.,Other,Mistranslation,Critical error,"shawng lang na jet nbungli gaw yaw shada da ai shara hta hkrak bawm jahkrat mat ai aten hpe myit dum ai matsing hku nna, jahpawt hkying 8:46 hkrak aten hta, mare kaba ting azim sha nga di hkungga madun mat ai."
Two beams of light have been rigged up to point skywards overnight.,Lamu de madun na matu wan shadaw lahkawng hpe shana tup sharawt tawn da ai.,Unnatural,Unnatural translation,Minor error,Wan shadaw kaba lahkawng hpe lamu de man yawng di shana tup shadun tawn da nga ai.
"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",Myit dum shingran nam pan sun hte sa chyai ai ka-ang lapran hta lamu mada wahpang manga hpe gaw gap ding yang re nga ai.,"Unnatural, Other","Unnatural translation, Inaccurately omitted information, Mistranslation",Major error,Ka-ang gaw myit dum shingran nampan sun hte htaw wa htaw sa shara mung lawm ai lamu tsaw nta kaba manga hpe dai htingra kaw gaw gap ding yang re nga ai.
"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",PBS lamang hta Emmy kumhpa dazin lahkawng daram jaw ai ngut nna dai gaw Sesame lam hte Mister Rogers nta makau daram sha lagat ai re.,"Unnatural, Other","Mistranslation, Unnatural translation",Critical error,"PBS lamang gaw Emmy shagrau kumhpa dazin lahkawng jan nga ai. Ngut na, ndai lamang gaw ""Sesame Street"" hte ""Mister Rogers' Neighborhood"" ngu ai aten galu shapoi wa ai lamang lahkawng hta loi mi sha hpang hkrat di shapoi wa ai re."
Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,Dai lamang ni gaw laika buk kaw na madung ni hpe galaw da ai ngut nna dai madung law law ngai mawng moi ni hpe hkaja u.,"Unnatural, Other","Wrong register, Unnatural translation, Inaccurately omitted information",Major error,"Dai lamang a daw shagu gaw, dai laklai ai laika buk a ga baw hpe madung tawn di dai ga baw hpe maumwi law law hku hkan tam maram yu lai wa na."
Each show would also provide recommendations for books that children should look for when they went to their library.,Dai madun ai shagu hta ma ni shanhte laika sa ai shaloi gara zawn re laika ni hpe tam mai ai hpe mung madi shadaw da ai karum da na re.,Other,Mistranslation,Major error,Dai lamang shagu gaw ma ni laika dum de sa ai shaloi tam hti yu mai ai laika buk ni hpe mung hpaji jaw tsun wa sai re.
"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""","WNED Buffalo kaw na John Grant ( laika hti ai ngoi latung a nta shara) tsun ai gaw laika hti ai ngoi latung lam gaw ma ni hpe hpa majaw laika hti ai, hpa majaw laika hti ai hpe ra ai - (lamang) gaw ma ni hpe laika bok hte laika hti wa na matu ngun jaw ya ai lamang re.",Other,"Unnatural translation, Other",Minor error,"WNED Buffalo kaw na John Grant (Reading Rainbow na shapoi madung dap) tsun ai gaw, 'Reading Rainbow gaw ma ni hpe hpa na laika hti ra na lam, laika hti ai hpe tsawra chye na matu sharin ya lai wa sai. (dai lamang gaw) ma ni hpe laika buk hti wa na matu n-gun jaw ya lai wa sai re.'"
"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",John Grant na gumhpraw ma ai hte laika hpaji myit ai lam ni a television lamang ni shai wa ai ni+F158 gaw ngut wa sai ngut kam ma ai.,Other,"Untranslated text, Mistranslation, Inaccurately omitted information",Critical error,"masha nkau mi, John Grant mung lawm ai, garum gumhpraw n law wa ai majaw hte hpaji masa hte seng ai TV lamang ni a myit mang ai lam galai shai wa ai majaw, dai series ni hpe jahtum kau ai lam de du mat ai ngu di kam ma ai."
"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.","Cape Verde zinlawng a sinna maga na 645 deng (1040km) ram hta nga ai, mawru gaw lamu ga shara gara hpe tim shahkri shama ai lam ndu shi yang hkoi mat na zawn re ai, nga tau hkrau tak maram ai ni tsun ai.","Other, Typo","Inaccurately omitted information, Unnatural translation, Wrong spelling",Minor error,"Cape Verde zinlawng ni a sinna maga deng 645 (1040 km) ram hta nga ai nbung laru gaw, lamu ga shara maga hpe jahkrit sama ai lam n du wa shi yang n-gun yawm wa na zawn re ai, nga na tau hkrau tak maram ai ni tsun ai."
Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,"Fred gaw hkying hkum mi hta ya yang deng 105 (165 km/h) nbung nga ai, dai gaw sinna dingdung maga shamu taw ai.","Typo, Grammatical error",Wrong grammar,Minor error,"Fred gaw hkying hkum mi hta, ya yang, deng 105 (165km/h) nbung nga ai hte sinna dingdung maga de yawng taw nga ai. "
"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",Jak shagan hte sumla gayet ai lam du wa ai aten kaw Fred gaw ya ten du hkra Atlantic a dingda maga hte sinpraw maga kaw masat shadawn lai wa ai bunghpoi laru kaba kaw n-gun ja dik htum rai nga nna sinpraw maga de na 35° W kaw masat shadawn ai kaw nambat masum kaba htum ai nbung laru rai nga ai.,Other,"Unnatural translation, Other",Minor error,"Jak shagan sumla dem ai lam du wa ai aten kaw na, Fred gaw ya ten du hkra Atlantic a dingda maga hte sinpraw maga kaw masat shadawn lai wa ai kahtet shara maga na bung hpoi laru kaba kaw na n-gun ja dik htum rai nga nna sinpraw maga de na 35° W kaw masat shadawn ai kaw nambat masum kaba htum ai laru kaba rai nga ai."
"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.","Shaning 1759 ning shata man chyhku 24 ya hta, Arthur Guinness gaw Ireland, Dublin hta St James a Gate Brewery a matu shaning 9,000 ning shap sha ga sadi laika hta lakmat htu sai.",Typo,"Wrong spelling, Wrong grammar",Minor error,"Shaning 1759 ning, shata man jahku, 24 ya shani hta, Arthur Guinness gaw Ireland mungdan Dublin muklum hta St James' Gate Brewery hpe shap na matu shaning 9000 ning shap ga sadi laika hta lata kumla htu dat ai."
"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.","Shaning 250 hpang, Guinness gaw mungkan ting a bungli euro 10 billion jan (US$ 14.7 bilion) daram shaning shagu shang wa ai.","Unnatural, Typo, Other","Inaccurately omitted information, Unnatural translation, Untranslated text",Major error,"Shaning 250 ning hpang, Guinness gaw mungkan ting chyam ai hpaga bungli langai byin wa di, shaning shagu euros 10 billion jan (US $ 14.7 billion) ram shang wa ai. "
"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",Jonny Reid ngu ai A1GP New Zealand uhpung a mawdaw gau garum ai wa gaw dai ni na aten hta New Zealand a tara shang asak 48 ning kaba ai Auckland Harbour mahkrai ntsa hku lawan dik ai hku gau lai nna labau ningnan galaw la lu sai re.,Other,"Unnatural translation, Inaccurately omitted information",Minor error,"Jonny Reid ngu ai A1GP New Zealand uhpung a mawdaw gau garum ai masha gaw, dai ni na aten hta, New Zealand mungdan a 48 ning nga sai Auckland Harbour Bridge mahkrai ntsa hku, tara shang masat da ai lawan dik ai hku gau lai nna, labau ningnan galaw la lu sai re."
"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",Mr Reid gaw New Zealand na A1GP mawdaw achyang hpe mahkrai sanit lang lai nna 160km/h lawan n-gun hte gau na matu galaw wa ai.,Other,"Inaccurately omitted information, Unnatural translation",Major error,"Mr. Reid gaw New Zealand na A1GP mawdaw Black Beauty hpe lawan shadang 160km/h jan hte, mahkrai ntsa hku nna, sanit lang gau lai lu wa sai re."
"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.","New Zealand kaw na pyada ni gaw Black Beauty ram ram nem ai majaw shanhte a lawan ai radar sinat ni hpe lang ai hta Mr Reid gade ram sa mat ai hpe mu chye na matu manghkang nga ai, Mr Reid gaw 160km/h ram shanem ai ten she pyada ni gaw nari gade na ai mai masat ai.","Unnatural, Other, Typo","Unnatural translation, Wrong spelling, Mistranslation",Major error,"New Zealand kaw na pyada ni gaw, Black Beauty nem ai majaw, shanhte a lawan shadang radar sinat ni hpe lang di Mr. Reid kade ram lawan di gau sa mat ai hpe, mu chye na matu manghkang nga ai. Mr. Reid gaw 60km/h ram shanem dat ai shaloi she, pyada ni shi kade ram sa taw ai hpe lu shadawn la ai."
"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",Lai wa sai shata 3 hta rim hkrum ai masha 80 jan ram gaw gumhpraw dam gayet ai nhkrum ai sha Central booking madi shadaw hpung kaw na shalawt ya ai lam hkrum lai wa sai re.,,,,
"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.","Ndai shaning shata man mali hta, Judge Glynn kaw na tara rung kaw na shana ai hpe nna ai sha galaw ai ni hpang aten 24 hta lai nna dai hpe chyahkring galaw na matu tara hpang wa ai.",,,,
"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.","Tara madung gaw gumhpraw chyhkrat ai, sadi jaw yang, ngut nna ayang gaw dai gumhpraw hpe pyada kaw na chyhkrat ai. Dai hpang dai gumhpraw gaw mangkang ni hpe jep ai state computer system de shang ai.",,,,
The hearing also marks the date for the suspect’s right to a speedy trial.,Tara rung kaw madat la ai lam gaw ntsen ai wa a lawan ladan tara rung kaw jep yu na ahkaw ahkang hte seng nna masat mahtoi hpe ma matsing tawn da wa sai.,,,,
"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.","Australia mungdan a kunhting, Petru Costello hte Liberal pati ningbaw langai re ai, awng dang dik ai masha Hkringmang daju Yawhan Howard ni gaw Australia mungdan a nuclear laknak jak rung a shingdu de shi a madi shadaw lam nla ai zawn re na galaw dan wa sai.",,,,
"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.","Mr Costello gaw nuclear laknak atsam shapraw ai lam hpe sut masa hte dang lu na mai byin ai nga yang gaw, Australia mungdan kaw na dai hpe lu lang na matu shakut ging ai ngu tsun ai.",,,,
